what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1388713014994
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1388713014994
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1388713014994
java.specification.name,sysinfo,,,"Java Platform API Specification",1388713014994
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1388713014994
java.specification.version,sysinfo,,,"1.6",1388713014994
java.vendor,sysinfo,,,"Apple Inc.",1388713014994
java.version,sysinfo,,,"1.6.0_65",1388713014994
java.vm.info,sysinfo,,,"mixed mode",1388713014994
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1388713014994
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1388713014994
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1388713014994
java.vm.specification.version,sysinfo,,,"1.0",1388713014994
java.vm.vendor,sysinfo,,,"Apple Inc.",1388713014994
java.vm.version,sysinfo,,,"20.65-b04-462",1388713014994
started,bundle,org.eclipse.wst.html.core,1.1.404.v201101190004,"org.eclipse.wst.html.core",1388713017129
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1388713017299
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1388713017366
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1388713017386
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1388713024060
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1388713024067
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1388713024309
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1388713024310
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1388713024615
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1388713024777
