what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388291534338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388291542215
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1388291549349
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1388291551319
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388291561499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291564341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291568402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291571910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291576868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291580071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291589987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291612990
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291618855
error,log,,,"Error logged from Debug UI: ",1388291646996
error,log,,,"Error logged from Debug UI: ",1388291646997
error,log,,,"Error logged from Debug UI: ",1388291647000
error,log,,,"Error logged from Debug UI: ",1388291647000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291699240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291707450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388291748694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388291750164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388291754905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388291934132
