what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529337056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529337118
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529351111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388529358552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529359683
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529362520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529362564
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529364407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388529369401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529370997
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529374113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529374165
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529377926
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1388529390869
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.TaskList",1388529390885
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529406771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388529429721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529437209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529437634
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388529437636
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1388529464109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529467628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529471826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529471878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529471944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529490719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1388529490751
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529491516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388529504322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529508232
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529510575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529510620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388529527520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529530643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529531066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388529531069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529536785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529536818
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529545227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1388529545262
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529546082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529549290
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529584269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529584339
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529611233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529613149
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529615139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388529620598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529622317
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529633283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529633351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529735949
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529744313
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529744336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388529744423
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529744437
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529749170
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529749199
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529752213
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388529757846
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388529758051
