what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388354654879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388354656393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1388354666950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388354667999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1388354693736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388354698961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1388354758563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388354769452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388354770781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388354780417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388354787741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388354789385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388354796126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388354797943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388354799070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355279784
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388355301505
error,log,,,"IStructuredDocumentRegion management failed.",1388355324045
error,log,,,"IStructuredDocumentRegion management failed.",1388355324651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1388355331834
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388355333155
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388355343018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355348542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355564938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388355570042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388355577188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355579661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355591384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355609172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355780636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388355797467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388355803543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388361850218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388361853934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1388361858470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388361861701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388361863045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1388361871245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388361873683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388361874289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388361875755
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388362496527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388362506812
error,log,,,"Error logged from Debug UI: ",1388362509943
error,log,,,"Error logged from Debug UI: ",1388362509943
error,log,,,"Error logged from Debug UI: ",1388362509947
error,log,,,"Error logged from Debug UI: ",1388362509947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388362556905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388362564902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388362566774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388362595788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388362598804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388362650145
