what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428347977
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428364676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388428371563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388428388350
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428389542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388428402278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428402880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428409468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428424581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428429127
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428447411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428622751
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428626656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428639040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1388428644130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388428649788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428650172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428651481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428656928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428703431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428748174
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428766736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428770174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428784264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428794423
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428795911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428815682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428841963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428843805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428850167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428869494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428909731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388428914195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428951795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388428990853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429006304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429030691
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429055752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429056648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388429057884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429058667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429063884
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388429067227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429068142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429097166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388429117058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388429129696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429134687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429136889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388429145128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429146001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429267603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429380804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429513398
opened,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388429516958
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1388429517064
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1388429517068
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1388429517085
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1388429517166
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1388429517172
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1388429517177
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1388429517179
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1388429517179
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1388429517196
started,bundle,com.vectrace.MercurialEclipse,2.1.0.201304290948,"com.vectrace.MercurialEclipse",1388429517217
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1388429517232
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1388429517236
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1388429517337
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1388429517338
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388429525847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429533504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429644088
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388429644110
error,log,,,"Error logged from Debug UI: ",1388429651107
error,log,,,"Error logged from Debug UI: ",1388429651108
error,log,,,"Error logged from Debug UI: ",1388429651111
error,log,,,"Error logged from Debug UI: ",1388429651112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429716918
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388429733556
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388429733579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429733601
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429745679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429746458
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388429750232
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388429752097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388429755087
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388429756000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388429756473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429855510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429939766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388429940928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429942222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429947895
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388429949214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388429960551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388430248820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388430255498
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388430267790
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388430267816
