what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526305281
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1388526305281
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526307488
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526316563
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388526320234
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526321605
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526322624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388526323450
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526327102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388526330561
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526332602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388526334361
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526363807
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388526372279
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526372476
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526372512
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388526392606
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388526392881
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388526392930
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526396555
closed,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388526396555
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388526414981
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526416907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388526420226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526424711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526425486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388526543717
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388526557356
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388526557543
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388526557573
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526570107
closed,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388526570108
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526578272
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526590314
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388526594948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388526641416
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526646974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526650181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526652806
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526652824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388526678170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526682794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526847578
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526862818
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388526867268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526867313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526885435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526896587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526900139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526918121
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388526919946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388526924405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388526925434
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527022703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527022747
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527043468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388527046059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527047037
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527062630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527062674
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527071607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527083836
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527136837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527136880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527172615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527176633
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527178089
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388527188491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388527199079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527200806
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527218658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527218720
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527220385
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527222366
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527223694
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527226022
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388527251133
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527252211
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527261911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527261975
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527275451
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527284160
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527301760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527301803
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527303648
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1388527305935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1388527307398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527308321
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527319864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527319928
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527325890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527328443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527332033
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527333450
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388527333624
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388527333656
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1388527344859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527346059
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1388527365962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1388527366020
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1388527367250
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1388527369680
